combo,replication,revenue,perfect,difference
13,8,59100,82752,0.285817865
13,9,103950,110022,0.055188962
13,10,82956,100140,0.17159976
13,11,75438,97458,0.225943483
13,12,76566,97626,0.215721222
13,13,95640,106314,0.1004007
13,14,65328,89352,0.268869192
13,15,70890,91548,0.225652117
13,16,113784,114642,0.007484168
13,17,109218,112104,0.025743952
13,18,110730,113328,0.022924608
13,19,96324,107064,0.100313831
13,20,107880,111276,0.03051871
13,21,59724,83208,0.282232478
13,22,117348,120000,0.0221
13,23,108444,112086,0.032492907
13,24,55674,79632,0.300858951
13,25,99216,108216,0.083166999
13,26,59436,82932,0.283316452
13,27,81822,99480,0.177503016
13,28,56076,81204,0.309442885
13,29,96954,107232,0.095848254
13,30,112512,113574,0.009350732
13,31,107466,111666,0.037612165
13,32,64788,87492,0.259498011
13,33,86664,101904,0.14955252
13,34,102150,108612,0.059496188
13,35,87024,102768,0.15319944
13,36,52836,76872,0.312675617
13,37,71856,93072,0.227952553
13,38,111912,112704,0.007027257
13,39,59490,82320,0.277332362
13,40,91452,104346,0.123569662
13,41,86556,101754,0.149360222
13,42,116802,119262,0.020626855
13,43,115818,117450,0.013895275
13,44,25800,38940,0.337442219
13,45,72210,93708,0.229414778
13,46,113520,114360,0.007345226
13,47,43836,65928,0.335092829
13,48,70938,92892,0.236338974
13,49,107970,111198,0.029029299
14,0,78540,97818,0.197080292
14,1,52440,76032,0.310290404
14,2,117300,120000,0.0225
14,3,98988,107070,0.075483329
14,4,15696,23256,0.325077399
14,5,40944,62292,0.342708534
14,6,93306,104334,0.105699005
14,7,18534,27312,0.321397188
14,8,92718,104142,0.109696376
14,9,92940,104286,0.108796962
14,10,99924,108552,0.079482644
14,11,101652,108594,0.063926184
14,12,71034,92412,0.231333593
14,13,91590,103674,0.116557671
14,14,83478,100236,0.167185442
14,15,46254,70800,0.346694915
14,16,87720,102618,0.145179208
14,17,84270,100248,0.159384726
14,18,113106,115392,0.019810732
14,19,62922,86148,0.269605795
14,20,77322,97716,0.208706865
14,21,111384,112812,0.012658228
14,22,113952,116790,0.024300026
14,23,91314,104454,0.125797002
14,24,71106,91656,0.224207908
14,25,96312,105756,0.089299898
14,26,76998,97770,0.212457809
14,27,94338,104466,0.096950204
14,28,94674,104574,0.094669803
14,29,108924,111594,0.023926018
14,30,81072,99048,0.181487764
14,31,95748,105618,0.09344998
14,32,67548,89196,0.242701466
14,33,97602,106764,0.085815443
14,34,63786,85668,0.255427931
14,35,102330,108582,0.057578604
14,36,57414,79920,0.281606607
14,37,110724,113322,0.022925822
14,38,89010,101532,0.123330576
14,39,47748,72696,0.343182569
14,40,85620,101472,0.156220435
14,41,106182,109614,0.031309869
14,42,115938,118476,0.02142206
14,43,111870,115332,0.030017688
14,44,119616,120000,0.0032
14,45,85374,101802,0.161372075
14,46,97488,106158,0.081670717
14,47,110268,112476,0.019630855
14,48,111186,113424,0.019731274
14,49,46278,70632,0.344801223
15,0,65982,85260,0.226108374
15,1,87282,101436,0.139536259
15,2,105066,110574,0.049812795
15,3,49278,72588,0.321127459
15,4,52254,75864,0.311214805
15,5,101862,107064,0.048587761
15,6,47772,71736,0.334058213
15,7,84768,99840,0.150961538
15,8,48894,73824,0.337695059
15,9,100758,106452,0.053488896
15,10,78024,97584,0.200442696
15,11,79332,96906,0.181351
15,12,87558,100890,0.132143919
15,13,106668,111354,0.042082009
15,14,79920,97824,0.183022571
15,15,71154,91668,0.223785836
15,16,107430,113412,0.052745741
15,17,66114,87540,0.244756683
15,18,71766,90096,0.203449654
15,19,85278,100266,0.149482377
15,20,118506,120000,0.01245
15,21,105642,110220,0.041535112
15,22,95172,104316,0.087656735
15,23,103560,108600,0.04640884
15,24,110946,117756,0.057831448
15,25,114564,119022,0.03745526
15,26,89922,102630,0.123823443
15,27,74802,96876,0.227858293
15,28,106272,111672,0.048355899
15,29,99798,106644,0.064194891
15,30,99276,107394,0.075590815
15,31,119718,120000,0.00235
15,32,103128,107730,0.042717906
15,33,78072,96996,0.195100829
15,34,97362,105162,0.074171279
15,35,105234,110520,0.047828447
15,36,86148,101112,0.147994303
15,37,48198,72372,0.334024208
15,38,90828,103338,0.121059049
15,39,65832,87012,0.243414701
15,40,61794,84348,0.267392232
15,41,76674,94464,0.188325711
15,42,68202,89748,0.240072202
15,43,113358,118866,0.046337893
15,44,109128,114792,0.049341418
15,45,108564,113802,0.046027311
15,46,117270,120000,0.02275
15,47,105450,110016,0.041503054
15,48,81210,98214,0.17313214
15,49,81402,99672,0.183301228
16,0,98196,107610,0.087482576
16,1,48756,73128,0.333278635
16,2,110988,112440,0.012913554
16,3,80904,98358,0.177453791
16,4,93552,104526,0.104988233
16,5,72600,94044,0.228020926
16,6,114900,116784,0.016132347
16,7,57912,81408,0.288620283
16,8,110532,111894,0.012172234
16,9,85608,102078,0.161347205
16,10,104076,109920,0.053165939
16,11,113268,115458,0.018967936
16,12,99744,107814,0.074851133
16,13,76920,96360,0.201743462
16,14,107688,110418,0.02472423
16,15,102996,109080,0.055775578
16,16,90204,102882,0.123228553
16,17,66864,89568,0.253483387
16,18,101172,108078,0.063898296
16,19,66540,88788,0.250574402
16,20,80856,98088,0.175678982
16,21,49536,73836,0.329107752
16,22,113076,113904,0.007269279
16,23,86364,101472,0.148888363
16,24,52896,77556,0.317963794
16,25,82692,99408,0.16815548
16,26,76800,97716,0.214048876
16,27,83772,99450,0.157647059
16,28,114792,116352,0.013407591
16,29,50508,75564,0.33158647
16,30,8064,12312,0.34502924
16,31,88692,102336,0.133325516
16,32,49248,73836,0.333008289
16,33,115548,116028,0.004136932
16,34,96900,105852,0.08457091
16,35,67536,90288,0.25199362
16,36,79668,99228,0.19712178
16,37,89640,103890,0.137164308
16,38,89496,102810,0.129501021
16,39,44184,68436,0.35437489
16,40,90804,103686,0.124240495
16,41,113400,114534,0.00990099
16,42,113220,114258,0.009084703
16,43,63084,85080,0.258533145
16,44,61308,84252,0.27232588
16,45,112752,114078,0.011623626
16,46,40272,60972,0.339500098
16,47,85176,101268,0.158905084
16,48,93108,105288,0.115682699
16,49,97404,106872,0.08859196
17,0,106008,110544,0.041033435
17,1,112752,115104,0.020433695
17,2,70476,90420,0.22057067
17,3,81636,98640,0.172384428
17,4,112716,116262,0.030500077
17,5,120000,120000,0.0
17,6,46716,67056,0.303328561
17,7,92160,103476,0.109358692
17,8,115176,118278,0.026226348
17,9,91512,103776,0.118177613
17,10,116628,120000,0.0281
17,11,109104,112446,0.029720933
17,12,87888,100914,0.129080207
17,13,111696,114138,0.021395153
17,14,74784,94824,0.211338902
17,15,68100,88752,0.232693348
17,16,67056,87156,0.230620956
17,17,64140,85152,0.246758737
17,18,115296,120000,0.0392
17,19,70272,91584,0.232704403
17,20,91164,103146,0.116165435
17,21,100272,106908,0.062072062
