combo_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
328,60,60,60,60,54,54,54,48,48,36,36,36,36,36,36
329,60,60,60,60,54,54,54,48,36,36,36,36,36,36,36
330,60,60,60,60,54,54,54,36,36,36,36,36,36,36,36
331,60,60,60,60,54,54,48,48,48,48,48,48,48,48,48
332,60,60,60,60,54,54,48,48,48,48,48,48,48,48,36
333,60,60,60,60,54,54,48,48,48,48,48,48,48,36,36
334,60,60,60,60,54,54,48,48,48,48,48,48,36,36,36
335,60,60,60,60,54,54,48,48,48,48,48,36,36,36,36
336,60,60,60,60,54,54,48,48,48,48,36,36,36,36,36
337,60,60,60,60,54,54,48,48,48,36,36,36,36,36,36
338,60,60,60,60,54,54,48,48,36,36,36,36,36,36,36
339,60,60,60,60,54,54,48,36,36,36,36,36,36,36,36
340,60,60,60,60,54,54,36,36,36,36,36,36,36,36,36
341,60,60,60,60,54,48,48,48,48,48,48,48,48,48,48
342,60,60,60,60,54,48,48,48,48,48,48,48,48,48,36
343,60,60,60,60,54,48,48,48,48,48,48,48,48,36,36
344,60,60,60,60,54,48,48,48,48,48,48,48,36,36,36
345,60,60,60,60,54,48,48,48,48,48,48,36,36,36,36
346,60,60,60,60,54,48,48,48,48,48,36,36,36,36,36
347,60,60,60,60,54,48,48,48,48,36,36,36,36,36,36
348,60,60,60,60,54,48,48,48,36,36,36,36,36,36,36
349,60,60,60,60,54,48,48,36,36,36,36,36,36,36,36
350,60,60,60,60,54,48,36,36,36,36,36,36,36,36,36
351,60,60,60,60,54,36,36,36,36,36,36,36,36,36,36
352,60,60,60,60,48,48,48,48,48,48,48,48,48,48,48
353,60,60,60,60,48,48,48,48,48,48,48,48,48,48,36
354,60,60,60,60,48,48,48,48,48,48,48,48,48,36,36
355,60,60,60,60,48,48,48,48,48,48,48,48,36,36,36
356,60,60,60,60,48,48,48,48,48,48,48,36,36,36,36
357,60,60,60,60,48,48,48,48,48,48,36,36,36,36,36
358,60,60,60,60,48,48,48,48,48,36,36,36,36,36,36
