combo,replication,revenue,perfect,difference
51,44,110328,115164,0.041992289
51,47,108444,110538,0.018943712
51,49,110940,114714,0.03289921
52,4,105384,108684,0.030363255
52,9,100212,105090,0.046417357
52,20,101280,105276,0.037957369
52,25,100980,105090,0.039109335
52,29,104640,109584,0.045116075
52,30,102036,105816,0.035722386
52,35,107016,112236,0.046509141
52,36,103848,108714,0.044759645
52,37,97668,102510,0.047234416
52,42,115056,120000,0.0412
52,45,105240,109764,0.041215699
52,46,97980,102942,0.0482019
52,47,98064,103182,0.049601675
53,34,99204,104400,0.049770115
56,4,111804,113280,0.013029661
56,10,111900,113484,0.013957915
56,22,106164,110670,0.040715641
56,25,109470,111870,0.021453473
56,34,108030,111636,0.032301408
56,39,115044,118860,0.032104997
56,42,107904,111102,0.02878436
56,44,114294,114636,0.002983356
56,47,114810,115692,0.00762369
56,48,115332,120000,0.0389
57,3,115896,120000,0.0342
57,7,109116,111432,0.020783976
57,16,107370,110718,0.030238986
57,18,103614,108822,0.04785797
57,24,116604,120000,0.0283
57,25,113826,113982,0.001368637
57,27,115608,118056,0.020735922
57,34,110436,112326,0.016826024
57,40,114174,116358,0.018769659
57,42,111810,112488,0.00602731
57,44,106116,110040,0.03565976
57,45,113772,116520,0.023583934
58,1,109926,112320,0.021314103
58,3,110466,111600,0.01016129
58,5,113478,116928,0.029505337
58,8,110424,114042,0.031725154
58,14,108516,110592,0.018771701
58,17,106284,109458,0.028997424
58,20,118380,120000,0.0135
58,22,105660,109194,0.032364416
58,27,109920,112572,0.023558256
58,30,106518,110928,0.039755517
58,36,107118,109608,0.02271732
58,37,117210,120000,0.02325
58,47,115026,120000,0.04145
59,3,115080,120000,0.041
59,8,116910,120000,0.02575
59,11,116118,120000,0.03235
59,12,108714,110514,0.016287529
59,14,103860,108600,0.043646409
59,19,103698,108990,0.048554913
59,21,104562,109224,0.042682927
59,24,113952,117870,0.03324001
59,33,116298,120000,0.03085
59,35,111546,113280,0.015307203
60,2,107904,110094,0.019892092
60,3,115200,120000,0.04
60,6,111204,113676,0.021746015
60,7,109254,112320,0.027297009
60,9,110130,113460,0.029349551
60,11,115164,120000,0.0403
60,15,112470,116484,0.034459668
60,16,107616,110004,0.021708302
60,22,113730,116550,0.024195624
60,23,111864,115482,0.031329558
60,24,113058,115638,0.022311005
60,30,107700,111012,0.029834612
60,33,104508,107532,0.028121861
60,37,113952,118092,0.035057413
60,39,113436,117816,0.037176614
60,42,113952,115584,0.014119601
60,46,104052,107718,0.034033309
60,47,110712,111846,0.010138941
60,48,103434,107466,0.037518843
61,4,100548,104646,0.039160599
61,5,101274,105966,0.044278353
61,7,104052,108600,0.041878453
61,10,104904,108960,0.03722467
61,13,99600,104250,0.044604317
61,16,116724,120000,0.0273
61,24,106794,109842,0.027748948
61,27,115812,120000,0.0349
